subj_id;trial;block;stim;true_cat;cat0_is_right_key;color_presentation_order;feature_presentation_order;response;time;time_pressure_cond;time_pressure_in_ms
6;313;training;122;1;1;120;201;1;1497;True;NA
6;314;training;212;1;1;120;201;1;1393;True;NA
6;315;training;213;0;1;120;201;0;686;True;NA
6;316;training;123;1;1;120;201;1;2537;True;NA
6;317;training;223;0;1;120;201;0;1275;True;NA
6;318;training;222;0;1;120;201;0;756;True;NA
6;319;training;112;1;1;120;201;1;770;True;NA
6;320;training;113;0;1;120;201;1;1902;True;NA
6;321;training;213;0;1;120;201;0;2263;True;NA
6;322;training;112;1;1;120;201;1;1038;True;NA
6;323;training;223;0;1;120;201;0;1859;True;NA
6;324;training;123;1;1;120;201;1;1511;True;NA
6;325;training;113;0;1;120;201;0;1531;True;NA
6;326;training;122;1;1;120;201;1;1215;True;NA
6;327;training;212;1;1;120;201;1;1895;True;NA
6;328;training;222;0;1;120;201;0;743;True;NA
6;329;training;213;0;1;120;201;0;1165;True;NA
6;330;training;113;0;1;120;201;0;4267;True;NA
6;331;training;212;1;1;120;201;1;1752;True;NA
6;332;training;222;0;1;120;201;0;761;True;NA
6;333;training;123;1;1;120;201;0;3085;True;NA
6;334;training;122;1;1;120;201;1;1110;True;NA
6;335;training;223;0;1;120;201;0;2305;True;NA
6;336;training;112;1;1;120;201;1;1408;True;NA
6;337;training;123;1;1;120;201;1;2380;True;NA
6;338;training;222;0;1;120;201;0;625;True;NA
6;339;training;122;1;1;120;201;1;1738;True;NA
6;340;training;223;0;1;120;201;0;1355;True;NA
6;341;training;212;1;1;120;201;1;5310;True;NA
6;342;training;213;0;1;120;201;0;6233;True;NA
6;343;training;113;0;1;120;201;0;2951;True;NA
6;344;training;112;1;1;120;201;1;1698;True;NA
6;345;training;213;0;1;120;201;0;1845;True;NA
6;346;training;212;1;1;120;201;1;1792;True;NA
6;347;training;222;0;1;120;201;0;1279;True;NA
6;348;training;223;0;1;120;201;0;1091;True;NA
6;349;training;123;1;1;120;201;1;1863;True;NA
6;350;training;122;1;1;120;201;1;1322;True;NA
6;351;training;113;0;1;120;201;0;438;True;NA
6;352;training;112;1;1;120;201;1;833;True;NA
6;353;training;222;0;1;120;201;0;1187;True;NA
6;354;training;213;0;1;120;201;0;873;True;NA
6;355;training;212;1;1;120;201;1;2997;True;NA
